epoch,train_loss,test_loss,test_acc,lr
1,0.26383704556497745,0.13440667049644905,0.9581,0.1
2,0.11718259526909128,0.11228956670758379,0.9649,0.1
3,0.08702617518153033,0.0937276741910198,0.9704,0.1
4,0.07041472833115123,0.08910269461420904,0.9725,0.1
5,0.05858886886789187,0.07917073566413182,0.9761,0.1
6,0.0494749184066394,0.07536989675212287,0.9779,0.1
7,0.04253494191399988,0.07357279765516057,0.9774,0.1
8,0.036631710751022874,0.07219514949358466,0.9776,0.1
9,0.03148406106312928,0.07490754894346664,0.9785,0.1
10,0.027573483407687047,0.07047953761970939,0.9795,0.1
11,0.024301175781992822,0.0695137397112845,0.9797,0.1
12,0.02134718466723866,0.06916076144224677,0.9801,0.1
13,0.018831220989389573,0.06904338233242965,0.9789,0.1
14,0.01654793789584452,0.07029660902990609,0.9801,0.1
15,0.014875032068322053,0.06940696924141827,0.9793,0.1
16,0.012984889275080382,0.07025124070727323,0.9795,0.1
17,0.011634073058601969,0.07356982873358328,0.9789,0.1
18,0.010423733309852823,0.06944123010335443,0.9807,0.1
19,0.009290908470497664,0.07229584224077586,0.9794,0.1
20,0.008400003777551669,0.07182886720774885,0.9793,0.1
21,0.007513705870976348,0.07355253069764116,0.9795,0.1
22,0.006762828860194983,0.07556826746801973,0.9796,0.1
23,0.0061261908270805,0.07459487209857248,0.98,0.1
24,0.0055087221288884275,0.07471468306295291,0.98,0.1
25,0.005022109617734936,0.076284461287394,0.9795,0.1
26,0.004598997750576201,0.07691647250281085,0.9804,0.1
27,0.004189223054468683,0.07635057713274063,0.9803,0.1
28,0.003844728454430739,0.07964867874279864,0.9795,0.1
29,0.0035811153250027337,0.07826682102216756,0.9792,0.1
30,0.003238458657696315,0.07889113529134795,0.9799,0.1
31,0.0030101290321831323,0.08030510848194154,0.9798,0.1
32,0.0027914145071309114,0.08171395910813731,0.9793,0.1
33,0.0025733800068865054,0.08142517527336345,0.979,0.1
34,0.002337618784876502,0.08182489464184507,0.9799,0.1
35,0.002194995982887676,0.08269598137202966,0.9794,0.1
36,0.002025340279512104,0.08382398797796634,0.9795,0.1
37,0.0019303267702725513,0.08422149771058395,0.9799,0.1
38,0.0017815195059229774,0.08459662589695334,0.9798,0.1
39,0.0016671089601826726,0.08511178328742887,0.9796,0.1
40,0.0015724293102401304,0.0856470067040023,0.9794,0.1
41,0.0014571038369847803,0.08572543194402608,0.9797,0.1
42,0.0013942744709177421,0.08697084861649705,0.9797,0.1
43,0.0013031170664981047,0.08721689151617841,0.9797,0.1
44,0.0012540759534172944,0.0878183561930409,0.9795,0.1
45,0.0011844085013914365,0.08793827846781131,0.9794,0.1
46,0.0011346279848335327,0.0883820085215192,0.9797,0.1
47,0.0010783135970907022,0.08841030381179016,0.9798,0.1
48,0.0010279027511971245,0.08973050614120973,0.9792,0.1
49,0.0009889425562753715,0.0895849476365189,0.9792,0.1
50,0.0009419196278394084,0.08976617302395,0.9794,0.1
